pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
25,0.5097092,apoptosis,0.028700792760196017,0.015569664997662203,60
25,0.5097092,senescence,0.07176574907236953,0.022094959775502136,60
26,0.5291731,AT2_identity,0.7922939260653075,0.09696865287202862,70
26,0.5291731,AT1_identity,0.13363022728474963,0.03497517179999045,70
26,0.5291731,interferon_response,0.0639442969902548,0.017299205759863576,70
26,0.5291731,nfkb_inflammatory,0.15855398072785876,0.022134538330148227,70
26,0.5291731,oxidative_stress,0.1514690732562619,0.028310625311912075,70
26,0.5291731,AT2_to_AT1_differentiation,0.4131777608528638,0.049391127522084244,70
26,0.5291731,apoptosis,0.032855784756414215,0.015535107636111939,70
26,0.5291731,senescence,0.009118817795877476,0.015422636112943233,70
27,0.5496507,AT2_identity,0.7709237559955345,0.10593850508053534,46
27,0.5496507,AT1_identity,0.053184075109621,0.03467034572452332,46
27,0.5496507,interferon_response,0.08128479007566751,0.026474152229064622,46
27,0.5496507,nfkb_inflammatory,0.09119280733634669,0.023467828648232825,46
27,0.5496507,oxidative_stress,0.1459960413292099,0.03654805893421805,46
27,0.5496507,AT2_to_AT1_differentiation,0.18721889947452497,0.05069975375914803,46
27,0.5496507,apoptosis,0.03925289876763462,0.017925046115636147,46
